year,city,country,local_avg_temp,year,global_avg_temp
1905,Kansas City,United States,11.19,1905,8.23
1906,Kansas City,United States,11.78,1906,8.38
1907,Kansas City,United States,11.62,1907,7.95
1908,Kansas City,United States,12.33,1908,8.19
1909,Kansas City,United States,11.71,1909,8.18
1910,Kansas City,United States,11.85,1910,8.22
1911,Kansas City,United States,12.82,1911,8.18
1912,Kansas City,United States,10.80,1912,8.17
1913,Kansas City,United States,12.61,1913,8.30
1914,Kansas City,United States,12.25,1914,8.59
1915,Kansas City,United States,11.56,1915,8.59
1916,Kansas City,United States,11.60,1916,8.23
1917,Kansas City,United States,10.41,1917,8.02
1918,Kansas City,United States,12.30,1918,8.13
1919,Kansas City,United States,11.88,1919,8.38
1920,Kansas City,United States,11.58,1920,8.36
1921,Kansas City,United States,13.68,1921,8.57
1922,Kansas City,United States,12.75,1922,8.41
1923,Kansas City,United States,12.12,1923,8.42
1924,Kansas City,United States,10.77,1924,8.51
1925,Kansas City,United States,12.07,1925,8.53
1926,Kansas City,United States,11.67,1926,8.73
1927,Kansas City,United States,12.04,1927,8.52
1928,Kansas City,United States,12.21,1928,8.63
1929,Kansas City,United States,10.80,1929,8.24
1930,Kansas City,United States,12.43,1930,8.63
1931,Kansas City,United States,13.82,1931,8.72
1932,Kansas City,United States,11.99,1932,8.71
1933,Kansas City,United States,13.16,1933,8.34
1934,Kansas City,United States,13.49,1934,8.63
1935,Kansas City,United States,11.85,1935,8.52
1936,Kansas City,United States,12.47,1936,8.55
1937,Kansas City,United States,11.36,1937,8.70
1938,Kansas City,United States,13.67,1938,8.86
1939,Kansas City,United States,13.35,1939,8.76
1940,Kansas City,United States,11.29,1940,8.76
1941,Kansas City,United States,13.14,1941,8.77
1942,Kansas City,United States,12.08,1942,8.73
1943,Kansas City,United States,11.64,1943,8.76
1944,Kansas City,United States,12.15,1944,8.85
1945,Kansas City,United States,11.53,1945,8.58
1946,Kansas City,United States,13.52,1946,8.68
1947,Kansas City,United States,12.11,1947,8.80
1948,Kansas City,United States,12.03,1948,8.75
1949,Kansas City,United States,12.19,1949,8.59
1950,Kansas City,United States,11.20,1950,8.37
1951,Kansas City,United States,10.96,1951,8.63
1952,Kansas City,United States,12.50,1952,8.64
1953,Kansas City,United States,13.41,1953,8.87
1954,Kansas City,United States,13.74,1954,8.56
1955,Kansas City,United States,12.46,1955,8.63
1956,Kansas City,United States,13.04,1956,8.28
1957,Kansas City,United States,12.21,1957,8.73
1958,Kansas City,United States,11.56,1958,8.77
1959,Kansas City,United States,12.07,1959,8.73
1960,Kansas City,United States,11.46,1960,8.58
1961,Kansas City,United States,11.48,1961,8.80
1962,Kansas City,United States,11.85,1962,8.75
1963,Kansas City,United States,12.37,1963,8.86
1964,Kansas City,United States,12.62,1964,8.41
1965,Kansas City,United States,12.49,1965,8.53
1966,Kansas City,United States,11.74,1966,8.60
1967,Kansas City,United States,11.80,1967,8.70
1968,Kansas City,United States,11.77,1968,8.52
1969,Kansas City,United States,11.60,1969,8.60
1970,Kansas City,United States,12.11,1970,8.70
1971,Kansas City,United States,12.37,1971,8.60
1972,Kansas City,United States,11.73,1972,8.50
1973,Kansas City,United States,12.62,1973,8.95
1974,Kansas City,United States,12.27,1974,8.47
1975,Kansas City,United States,12.43,1975,8.74
1976,Kansas City,United States,11.98,1976,8.35
1977,Kansas City,United States,12.41,1977,8.85
1978,Kansas City,United States,11.14,1978,8.69
1979,Kansas City,United States,10.89,1979,8.73
1980,Kansas City,United States,12.62,1980,8.98
1981,Kansas City,United States,12.62,1981,9.17
1982,Kansas City,United States,11.48,1982,8.64
1983,Kansas City,United States,12.09,1983,9.03
1984,Kansas City,United States,12.26,1984,8.69
1985,Kansas City,United States,11.21,1985,8.66
1986,Kansas City,United States,13.04,1986,8.83
1987,Kansas City,United States,13.45,1987,8.99
1988,Kansas City,United States,12.57,1988,9.20
1989,Kansas City,United States,11.46,1989,8.92
1990,Kansas City,United States,13.26,1990,9.23
1991,Kansas City,United States,13.22,1991,9.18
1992,Kansas City,United States,12.43,1992,8.84
1993,Kansas City,United States,11.34,1993,8.87
1994,Kansas City,United States,12.37,1994,9.04
1995,Kansas City,United States,12.04,1995,9.35
1996,Kansas City,United States,11.33,1996,9.04
1997,Kansas City,United States,11.96,1997,9.20
1998,Kansas City,United States,13.81,1998,9.52
1999,Kansas City,United States,13.32,1999,9.29
2000,Kansas City,United States,12.73,2000,9.20
2001,Kansas City,United States,13.09,2001,9.41
2002,Kansas City,United States,13.00,2002,9.57
2003,Kansas City,United States,12.56,2003,9.53
2004,Kansas City,United States,12.56,2004,9.32
2005,Kansas City,United States,13.27,2005,9.70
2006,Kansas City,United States,13.77,2006,9.53
2007,Kansas City,United States,13.18,2007,9.73
2008,Kansas City,United States,11.61,2008,9.43
2009,Kansas City,United States,12.03,2009,9.51
2010,Kansas City,United States,12.68,2010,9.70
2011,Kansas City,United States,12.79,2011,9.52
2012,Kansas City,United States,14.79,2012,9.51
2013,Kansas City,United States,13.99,2013,9.61
